account_created_at,cashtags,conversation_id,created_at,description,description_hashtags,description_mentions,display_url,domain_description,domain_id,domain_name,edit_history_tweet_ids,entities_normalizes_text,entities_probability,entities_type,entity_description,entity_id,entity_name,followers_count,following_count,hashtags,impression_count,in_reply_to_user_id,is_quote,is_retweet,lang,like_count,listed_count,location,media_duration_ms,media_height,media_previewmage_url,media_public_metrics.view_count,media_type,media_url,media_width,mentions_id,mentions_screen_name,name,pinned_tweet_id,possibly_sensitive,profile_image_url,protected,quote_count,quoted_account_created_at,quoted_conversation_id,quoted_created_at,quoted_description,quoted_description_hashtags,quoted_description_mentions,quoted_display_url,quoted_domain_description,quoted_domain_id,quoted_domain_name,quoted_edit_history_tweet_ids,quoted_entities_normalizes_text,quoted_entities_probability,quoted_entities_type,quoted_entity_description,quoted_entity_id,quoted_entity_name,quoted_followers_count,quoted_following_count,quoted_hashtags,quoted_impression_count,quoted_lang,quoted_like_count,quoted_listed_count,quoted_location,quoted_name,quoted_pinned_tweet_id,quoted_possibly_sensitive,quoted_profile_image_url,quoted_protected,quoted_quote_count,quoted_reply_count,quoted_reply_settings,quoted_retweet_count,quoted_screen_name,quoted_status_id,quoted_text,quoted_tweet_count,quoted_url,quoted_url_display_url,quoted_url_expanded_url,quoted_urls_description,quoted_urls_description_display_url,quoted_urls_description_expanded_url,quoted_urls_expanded_url,quoted_urls_media_key,quoted_urls_title,quoted_urls_unwound_url,quoted_urls_url,quoted_user_id,quoted_verified,reply_count,reply_settings,retweet_count,screen_name,status_id,text,tweet_count,url,url_display_url,url_expanded_url,urls_description,urls_description_display_url,urls_description_expanded_url,urls_expanded_url,urls_images1_height,urls_images1_url,urls_images1_width,urls_images2_height,urls_images2_url,urls_images2_width,urls_media_key,urls_title,urls_unwound_url,urls_url,user_id,verified,places_country,places_country_code,places_full_name,places_geo.bbox,places_geo.type,places_name,places_place_type,quoted_mentions_id,quoted_mentions_screen_name,attachments.poll_ids,quoted_withheld.country_codes,withheld.copyright,withheld.country_codes.x,withheld.country_codes.y,quoted_cashtags,geo.coordinates.coordinates,geo.coordinates.type,quoted_geo.coordinates.coordinates,quoted_geo.coordinates.type
2012-02-07T00:21:43.000Z,NA,x1608515887203508224,2022-12-29T17:30:46.000Z,,,,,"Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,Real world events. ","x123,131,29","Ongoing News Story,Unified Twitter Taxonomy,Events [Entity Service]",1608515887203508224,"COVID,TrudeauIsAPsychopath","0.9454,0.6619","Other,Person","This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1220701888179359745,1220701888179359745,1219057585707315201","COVID-19,COVID-19,COVID-19: Latest news updates from around the world",115,356,"supplychain,COVID,TrudeauIsAPsychopath",52,,0,0,en,0,5,,,,,,,,,,,Peter,,FALSE,https://pbs.twimg.com/profile_images/1253086864069627904/02oVxq-y_normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,0,pdesiatnyk,x1608515887203508224,I believe the world is forever changed but will we ever catch up so to speak ? Or will panic buying and shortages be the new normal ? #supplychain #COVID #TrudeauIsAPsychopath,4541,,NA,NA,,,,,,,,,,,,,,,x485241366,FALSE,,,,,,,,,,,,,,,,,,,
2020-07-28T16:49:56.000Z,NA,x1608524733120659458,2022-12-29T18:05:55.000Z,"Sobel Network Shipping Co., Inc. is an international freight forwarder that provides premium, cost-effective logistics solutions.",,,"sobelnet.com,sobelnet.com/reining-in-the…,pic.twitter.com/HC5ua3GtzA","Categories within Brand Verticals that narrow down the scope of Brands,Categories within Brand Verticals that narrow down the scope of Brands,Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,A taxonomy of user interests. ,A taxonomy of user interests. ,Top level interests and hobbies groupings,like Food or Travel,A grouping of interests and hobbies entities,like Novelty Food or Destinations,Real world events. ","x46,46,123,131,131,131,65,66,29","Business Taxonomy,Business Taxonomy,Ongoing News Story,Unified Twitter Taxonomy,Unified Twitter Taxonomy,Unified Twitter Taxonomy,Interests and Hobbies Vertical,Interests and Hobbies Category,Events [Entity Service]",1608524733120659458,covid,0.8219,Other,"Brands,companies,advertisers and every non-person handle with the profit intent related to automobile,spacecraft,aircraft and boat manufacturing,Brands,companies,advertisers and every non-person handle with the profit intent related to Banks,Credit cards,Insurance,Investments,Stocks ,Car culture,Trucks,This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1557696420500541440,1557696848252391426,1220701888179359745,781974596148793345,1220701888179359745,1503733786613219328,847528391163092993,847529278178705409,1219057585707315201","Automotive,Aircraft & Boat Business,Financial Services Business,COVID-19,Business & finance,COVID-19,Logistics,Automotive,Trucks,COVID-19: Latest news updates from around the world",85,83,"supplychain,warehouse,logistics,trucking,covid,shipping,import,export,freightforwarding,transports,sobelnet",13,,0,0,en,0,0,"Rockville Centre, New York",,374,,,photo,https://pbs.twimg.com/media/FlKgtJQXEAId1sZ.jpg,640,,,"Sobel Network Shipping Co., Inc.",,FALSE,https://pbs.twimg.com/profile_images/1611406553201917957/g68mUIrn_normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,0,sobelshipping,x1608524733120659458,"Follow &amp; Visit Us https://t.co/T5RJmIbBKa

Reining in the Supply Chain

https://t.co/fNGTgtjp3m

#supplychain #warehouse #logistics #trucking #covid #shipping #import #export #freightforwarding #transports #sobelnet https://t.co/HC5ua3GtzA",2409,https://t.co/ELsfmZBpVd,sobelnet.com,http://www.sobelnet.com,"Sobel Network Shipping Co.,Inc. is an international freight forwarder committed to simplifying the logistics processes for your business.,The US appears to finally be reining in the supply chain. Costs have started to fall which has brought a much-appreciated easing of inflation. After two years of rising costs post-Covid-19,the supply chain has encountered numerous problems. The high logistics costs were passed on to consumers,which quickly ran up prices to often unaffordable [...]Read More...",,,"http://www.sobelnet.com,https://www.sobelnet.com/reining-in-the-supply-chain/,https://twitter.com/sobelshipping/status/1608524733120659458/photo/1","491,374","https://pbs.twimg.com/news_img/1641882271916478479/uLC7oqCy?format=jpg&name=orig,https://pbs.twimg.com/news_img/1608524740590804992/YP7BFyd0?format=jpg&name=orig","1,598,640","150,150","https://pbs.twimg.com/news_img/1641882271916478479/uLC7oqCy?format=jpg&name=150x150,https://pbs.twimg.com/news_img/1608524740590804992/YP7BFyd0?format=jpg&name=150x150","150,150",3_1608524714363785218,"Sobel Network Shipping Co. Inc - Worldwide Freight Forwarder,Reining in the Supply Chain - Sobel Network Shipping Co.,Inc.","https://www.sobelnet.com/,https://www.sobelnet.com/reining-in-the-supply-chain/","https://t.co/T5RJmIbBKa,https://t.co/fNGTgtjp3m,https://t.co/HC5ua3GtzA",x1288154706620153857,FALSE,,,,,,,,,,,,,,,,,,,
2009-06-10T23:24:49.000Z,NA,x1608528781446111234,2022-12-29T18:22:01.000Z,We work around the clock in over 130 countries worldwide towards one goal: making your logistics even more efficient.,,,splash247.com/shipping-hit-b…,"Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,Real world events. ","x123,131,29","Ongoing News Story,Unified Twitter Taxonomy,Events [Entity Service]",1608528781446111234,"covid,china,covid","0.9633,0.9684,0.9444","Other,Place,Other","This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1220701888179359745,1220701888179359745,1219057585707315201","COVID-19,COVID-19,COVID-19: Latest news updates from around the world",3318,867,"shipping,supplychain,china,covid",667,,0,0,en,1,85,"Chesapeake, VA",,,,,,,,"x21095386,871820418","SamChambers,Splash_247",DB Schenker USA,,FALSE,https://pbs.twimg.com/profile_images/1267820721431916548/1_vzgK6P_normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,1,DBSchenkerUSA,x1608528781446111234,"Ships are backing up along the Chinese coastline as soaring cases of covid take out port staff reports @samchambers for @Splash_247. #shipping #supplychain #china #covid
https://t.co/FFpnn3iUrT",15281,http://t.co/mbptD3SG2p,dbschenkerusa.com,http://dbschenkerusa.com,"Ships are backing up along the Chinese coastline as soaring cases of covid take out port staff. With China easing its strict zero-covid policies this month,hundreds of thousands of citizens have been struck down by the illness. Beijing continues to play down the number of cases,but local reports suggest the figures are at …",,,https://splash247.com/shipping-hit-by-soaring-cases-of-covid-in-china/,600,https://pbs.twimg.com/news_img/1609746870116708352/z83Rzu_a?format=jpg&name=orig,1000,150,https://pbs.twimg.com/news_img/1609746870116708352/z83Rzu_a?format=jpg&name=150x150,150,,Shipping hit by soaring cases of covid in China - Splash247,https://splash247.com/shipping-hit-by-soaring-cases-of-covid-in-china/,https://t.co/FFpnn3iUrT,x46256081,FALSE,,,,,,,,,,,,,,,,,,,
2017-01-06T10:17:40.000Z,NA,x1608666814023598080,2022-12-30T03:30:30.000Z,Centre for Economy and Growth @orfonline.,,orfonline,or-f.org/115437,"Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,A taxonomy of user interests. ,Real world events. ","x123,131,131,29","Ongoing News Story,Unified Twitter Taxonomy,Unified Twitter Taxonomy,Events [Entity Service]",1608666814023598080,"COVID,China","0.9511,0.9638","Other,Place","Conversation about global finance and economies.,This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1220701888179359745,847511168268644352,1220701888179359745,1219057585707315201","COVID-19,Global Economy,COVID-19,COVID-19: Latest news updates from around the world",3210,28,"COVID,China,supplychain",120,,0,0,en,1,15,India,,,,,,,,x44656037,soumyabh_swears,ORFEcon,,FALSE,https://pbs.twimg.com/profile_images/1489563300983873538/vhpwasv__normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,2,orfecon,x1608666814023598080,.@soumyabh_swears: The magnitude of #COVID surge in #China is bound to deteriorate the trade and #supplychain disruptions to other countries. The timing of this outbreak adds to the criticality of the looming global economic crisis https://t.co/TgZvEpeMKG,25142,https://t.co/3tBgKMt5KE,orfonline.org/programme/econ…,https://www.orfonline.org/programme/economy-and-growth/,"As the world completes almost three years of COVID-19,the virus continues to haunt airports,hospitals,markets,the global economy",,,https://or-f.org/115437,450,https://pbs.twimg.com/news_img/1621003025446748165/Hm6Lws6_?format=jpg&name=orig,660,150,https://pbs.twimg.com/news_img/1621003025446748165/Hm6Lws6_?format=jpg&name=150x150,150,,"China’s COVID surge can affect the global economy,yet again | ORF",https://www.orfonline.org/expert-speak/chinas-covid-surge-can-affect-the-global-economy/,https://t.co/TgZvEpeMKG,x817314182055993344,TRUE,,,,,,,,,,,,,,,,,,,
2009-04-18T04:31:29.000Z,NA,x1608667855456993280,2022-12-30T03:34:39.000Z,"Digital evangelist, Data-driven leader and International speaker, passionate about technology.",,,stuff.co.nz/business/13088…,"Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,Real world events. ","x123,131,29","Ongoing News Story,Unified Twitter Taxonomy,Events [Entity Service]",1608667855456993280,"China,covid,china","0.971,0.9499,0.9757","Place,Other,Place","This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1220701888179359745,1220701888179359745,1219057585707315201","COVID-19,COVID-19,COVID-19: Latest news updates from around the world",64,152,"supplychain,covid,china",99,,0,0,en,0,1,"Wellington, New Zealand",,,,,,,,,,Chris Buxton,,FALSE,https://pbs.twimg.com/profile_images/1485470154217893890/kUI0txAf_normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,0,chrisbuxton,x1608667855456993280,"As companies struggle to reopen, international trade is hindered as China's supply chain is exposed. It emphasises the need for supplier variety and global trade system resilience.

https://t.co/sI27qfbizd

#supplychain #covid #china",361,,NA,NA,Everything from new TVs to medicine could be harder to get as the workforce that supplies this country $16b of goods each year is hit by the virus.,,,https://www.stuff.co.nz/business/130883168/new-zealand-braces-for-supply-issues-as-covid19-grips-china,,,,,,,,New Zealand braces for supply issues as Covid-19 grips China,https://www.stuff.co.nz/business/130883168/new-zealand-braces-for-supply-issues-as-covid19-grips-china,https://t.co/sI27qfbizd,x32785640,FALSE,,,,,,,,,,,,,,,,,,,
2011-09-08T02:34:54.000Z,NA,x1608779934427746305,2022-12-30T11:00:00.000Z,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance",,,or-f.org/115437,"Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,A taxonomy of user interests. ,Real world events. ","x123,131,131,29","Ongoing News Story,Unified Twitter Taxonomy,Unified Twitter Taxonomy,Events [Entity Service]",1608779934427746305,"COVID,China","0.9511,0.9638","Other,Place","Conversation about global finance and economies.,This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1220701888179359745,847511168268644352,1220701888179359745,1219057585707315201","COVID-19,Global Economy,COVID-19,COVID-19: Latest news updates from around the world",3753,55,"COVID,China,supplychain",73,,0,0,en,1,29,"Mumbai, India",,,,,,,,x44656037,soumyabh_swears,ORF Mumbai,,FALSE,https://pbs.twimg.com/profile_images/918012513169448960/183sfP_D_normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,1,ORFMumbai,x1608779934427746305,.@soumyabh_swears: The magnitude of #COVID surge in #China is bound to deteriorate the trade and #supplychain disruptions to other countries. The timing of this outbreak adds to the criticality of the looming global economic crisis https://t.co/GVqC8q1Lz0,93072,https://t.co/MqWpYcRBSp,orfonline.org,http://www.orfonline.org,"As the world completes almost three years of COVID-19,the virus continues to haunt airports,hospitals,markets,the global economy",,,https://or-f.org/115437,450,https://pbs.twimg.com/news_img/1621003025446748165/Hm6Lws6_?format=jpg&name=orig,660,150,https://pbs.twimg.com/news_img/1621003025446748165/Hm6Lws6_?format=jpg&name=150x150,150,,"China’s COVID surge can affect the global economy,yet again | ORF",https://www.orfonline.org/expert-speak/chinas-covid-surge-can-affect-the-global-economy/,https://t.co/GVqC8q1Lz0,x369869874,TRUE,,,,,,,,,,,,,,,,,,,
2010-08-20T11:19:22.000Z,NA,x1608800065417580544,2022-12-30T12:20:00.000Z,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",,,or-f.org/115437,"Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,A taxonomy of user interests. ,Real world events. ","x123,131,131,29","Ongoing News Story,Unified Twitter Taxonomy,Unified Twitter Taxonomy,Events [Entity Service]",1608800065417580544,"COVID,China","0.9511,0.9638","Other,Place","Conversation about global finance and economies.,This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1220701888179359745,847511168268644352,1220701888179359745,1219057585707315201","COVID-19,Global Economy,COVID-19,COVID-19: Latest news updates from around the world",125917,152,"COVID,China,supplychain",666,,0,0,en,2,1078,India,,,,,,,,x44656037,soumyabh_swears,ORF,,FALSE,https://pbs.twimg.com/profile_images/1559387602750357506/3yDB29aA_normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,1,orfonline,x1608800065417580544,.@soumyabh_swears: The magnitude of #COVID surge in #China is bound to deteriorate the trade and #supplychain disruptions to other countries. The timing of this outbreak adds to the criticality of the looming global economic crisis https://t.co/hxecGv032t,380669,https://t.co/sFIxMkOqDx,orfonline.org,http://www.orfonline.org,"As the world completes almost three years of COVID-19,the virus continues to haunt airports,hospitals,markets,the global economy",,,https://or-f.org/115437,450,https://pbs.twimg.com/news_img/1621003025446748165/Hm6Lws6_?format=jpg&name=orig,660,150,https://pbs.twimg.com/news_img/1621003025446748165/Hm6Lws6_?format=jpg&name=150x150,150,,"China’s COVID surge can affect the global economy,yet again | ORF",https://www.orfonline.org/expert-speak/chinas-covid-surge-can-affect-the-global-economy/,https://t.co/hxecGv032t,x180748385,TRUE,,,,,,,,,,,,,,,,,,,
2015-11-21T00:53:15.000Z,NA,x1608893878429433857,2022-12-30T18:32:47.000Z,"In a highly dynamic global marketplace, NZITA aims to play three key roles in the NZ India Relations – to act as connector, enabler and advocator.",,,paper.li/e-1500690608?e…,"Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,Real world events. ","x123,131,29","Ongoing News Story,Unified Twitter Taxonomy,Events [Entity Service]",1608893878429433857,"NZ,India Daily,covid","0.3928,0.7146,0.9067","Other,Place,Other","This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1220701888179359745,1220701888179359745,1219057585707315201","COVID-19,COVID-19,COVID-19: Latest news updates from around the world",889,784,"supplychain,covid",29,,0,0,en,0,15,New Zealand,,,,,,,,"x787472382831230976,44239098,13039372","clariseMalone,TechnologyNZ,akstanwyck",New Zealand India Trade Alliance 🇳🇿🇮🇳,,FALSE,https://pbs.twimg.com/profile_images/776187987503689728/yfWmzQDr_normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,0,ItanzIndia,x1608893878429433857,The latest NZ India Daily Business Report! https://t.co/YdMAoCcOi5 Thanks to @clariseMalone @TechnologyNZ @akstanwyck #supplychain #covid,5995,https://t.co/xhBMSbQQE5,ita.nz,http://www.ita.nz,stuff.co.nz Everything from new TVs to medicine could be harder to get as the workforce that supplies this country $16b of goods each year is hit by the virus.,,,https://paper.li/e-1500690608?edition_id=5b54c430-8870-11ed-a075-fa163e1a70d7,798,https://pbs.twimg.com/news_img/1608893882191822848/pMffWxPi?format=jpg&name=orig,1420,150,https://pbs.twimg.com/news_img/1608893882191822848/pMffWxPi?format=jpg&name=150x150,150,,New Zealand braces for supply issues as Covid-19 grips China,https://paper.li/e-1500690608?edition_id=5b54c430-8870-11ed-a075-fa163e1a70d7,https://t.co/YdMAoCcOi5,x4306618873,FALSE,,,,,,,,,,,,,,,,,,,
2021-04-12T21:44:01.000Z,NA,x1608916170496688129,2022-12-30T20:01:21.000Z,"Professional-grade #PPE, #Saftey, and #Medical supplies. Quick delivery, large inventory, #WeShield has you covered 👇","PPE,Saftey,Medical,WeShield",,ow.ly/sTjQ50MaANk,"Real world events. ,Real world events. ,Holidays like Christmas or Halloween,Holidays like Christmas or Halloween,Ongoing News Stories like 'Brexit',A taxonomy of user interests. ","x29,29,119,119,123,131","Events [Entity Service],Events [Entity Service],Holiday,Holiday,Ongoing News Story,Unified Twitter Taxonomy",1608916170496688129,"covid19,covid","0.9192,0.9145","Other,Other","This entity includes all conversations for New Years Eve for all years.,This entity includes all conversations for New Years Eve for all years.","x1319305164751163393,1605626178454228992,1319305164751163393,1605626178454228992,1220701888179359745,1220701888179359745","New Years Eve,New Years Eve 2023,New Years Eve,New Years Eve 2023,COVID-19,COVID-19",1635,1788,"supplychain,covid19,covid,supplychainsolutions",108,,0,0,en,1,7,"New York, USA",,,,,,,,,,WeShield,,FALSE,https://pbs.twimg.com/profile_images/1607435847833362433/8SKp3chU_normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,0,WeShieldUS,x1608916170496688129,Preparing for supply chain breakdown is essential as we head into the new year! Check out this article that outlines how you can prepare for scarcity in your own business' supply chain... https://t.co/eVD56vFUqM #supplychain #covid19 #covid #supplychainsolutions,1722,https://t.co/Uv4XdENnGH,linktr.ee/weshield,https://linktr.ee/weshield,,,,http://ow.ly/sTjQ50MaANk,,,,,,,,,https://ow.ly/sTjQ50MaANk,https://t.co/eVD56vFUqM,x1381724752264404993,FALSE,,,,,,,,,,,,,,,,,,,
2017-01-06T10:17:40.000Z,NA,x1609195295543361536,2022-12-31T14:30:30.000Z,Centre for Economy and Growth @orfonline.,,orfonline,or-f.org/115437,"Ongoing News Stories like 'Brexit',A taxonomy of user interests. ,A taxonomy of user interests. ,Real world events. ","x123,131,131,29","Ongoing News Story,Unified Twitter Taxonomy,Unified Twitter Taxonomy,Events [Entity Service]",1609195295543361536,"COVID,China","0.9511,0.9638","Other,Place","Conversation about global finance and economies.,This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts,journalists,health authorities and other trusted sources from around the world. For more on COVID-19,visit: twitter.com/explore/tabs/covid-19","x1220701888179359745,847511168268644352,1220701888179359745,1219057585707315201","COVID-19,Global Economy,COVID-19,COVID-19: Latest news updates from around the world",3210,28,"COVID,China,supplychain",130,,0,0,en,1,15,India,,,,,,,,x44656037,soumyabh_swears,ORFEcon,,FALSE,https://pbs.twimg.com/profile_images/1489563300983873538/vhpwasv__normal.jpg,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,everyone,1,orfecon,x1609195295543361536,.@soumyabh_swears: The magnitude of #COVID surge in #China is bound to deteriorate the trade and #supplychain disruptions to other countries. The timing of this outbreak adds to the criticality of the looming global economic crisis https://t.co/TgZvEpeMKG,25142,https://t.co/3tBgKMt5KE,orfonline.org/programme/econ…,https://www.orfonline.org/programme/economy-and-growth/,"As the world completes almost three years of COVID-19,the virus continues to haunt airports,hospitals,markets,the global economy",,,https://or-f.org/115437,450,https://pbs.twimg.com/news_img/1621003025446748165/Hm6Lws6_?format=jpg&name=orig,660,150,https://pbs.twimg.com/news_img/1621003025446748165/Hm6Lws6_?format=jpg&name=150x150,150,,"China’s COVID surge can affect the global economy,yet again | ORF",https://www.orfonline.org/expert-speak/chinas-covid-surge-can-affect-the-global-economy/,https://t.co/TgZvEpeMKG,x817314182055993344,TRUE,,,,,,,,,,,,,,,,,,,
